
📡影视频道,#genre#
河南戏曲,http://39.134.234.96:80/wh7f454c46tw1323003749_551611276/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226561/1.m3u8
中华功夫,http://39.134.234.94:80/wh7f454c46tw1345284342_-950858544/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226692/1.m3u8
郑州新闻综合频道,http://39.135.168.9/wh7f454c46tw1025250219_1181475290/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226404/1.m3u8
郑州商都频道,http://39.135.168.8/wh7f454c46tw1137421904_-370412964/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226402/1.m3u8
郑州文体频道,http://39.135.168.9/wh7f454c46tw1181667048_1668874332/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226407/1.m3u8
郑州影视戏曲,http://39.135.168.9/wh7f454c46tw1237108721_1634019570/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226405/1.m3u8
郑州妇女儿童，http://111.7.129.20/wh7f454c46tw1277737330_-712796715/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226403/1.m3u8
郑州都市频道,http://39.135.168.5/wh7f454c46tw1324130616_-1472929762/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226400/1.m3u8
美食汇,http://39.135.168.8:80/wh7f454c46tw1371071571_210546307/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226442/1.m3u8
棋牌汇,http://39.135.168.2:80/wh7f454c46tw1390267186_-1555531145/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226449/1.m3u8
调解剧场,http://39.134.234.98:80/wh7f454c46tw1419542930_-1620469882/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226581/1.m3u8
国学频道,http://39.134.234.101:80/wh7f454c46tw1445212860_48100306/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226629/1.m3u8
欢腾购，http://111.7.153.19:80/wh7f454c46tw1516972999_129491519/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226641/1.m3u8
浙江卫视,http://39.134.234.99:80/wh7f454c46tw1572585770_980982417/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226682/1.m3u8
东方卫视,http://39.134.234.57:80/wh7f454c46tw1685576549_-1693855771/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226681/1.m3u8
江苏卫视,http://39.134.234.98:80/wh7f454c46tw1712715844_-553847811/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226722/1.m3u8
北京卫视,http://111.7.153.32:80/wh7f454c46tw2703950398_-2139262879/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226519/1.m3u8
广东卫视,http://39.134.234.101:80/wh7f454c46tw1746777744_-1923372400/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226525/1.m3u8
黑龙江卫视,http://111.7.153.46:80/wh7f454c46tw1766792758_-1893943574/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226533/1.m3u8
山东卫视,http://39.134.234.11:80/wh7f454c46tw1794839009_1719462/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226564/1.m3u8
安徽卫视,http://39.134.234.45:80/wh7f454c46tw1818770959_-1058991163/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226578/1.m3u8
辽宁卫视,http://111.7.153.19:80/wh7f454c46tw1845603082_-2111107270/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226586/1.m3u8
陕西卫视,http://39.134.234.88:80/wh7f454c46tw1871212548_1205157398/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226591/1.m3u8
贵州卫视,http://111.7.153.12:80/wh7f454c46tw2050446116_2118416033/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226632/1.m3u8
